observed_at_utc,temp_c,humidity_pct,dew_point_c,pressure_hpa,wind_speed_ms,wind_gust_ms,wind_dir_deg,rain_mm,rain_rate_mmhr,solar_wm2,uv_index
2026-06-30T16:00:00Z,28.0,87,25.6,1013.3,1.34,4.02,90,0.0,0.0,0,0.0
2026-06-30T16:10:00Z,27.9,87,25.5,1013.2,1.34,5.36,67,0.0,0.0,0,0.0
2026-06-30T16:20:00Z,27.9,86,25.3,1013.1,1.34,4.92,112,0.0,0.0,0,0.0
2026-06-30T16:30:00Z,27.9,86,25.3,1012.9,1.34,4.02,157,0.0,0.0,0,0.0
2026-06-30T16:40:00Z,28.0,86,25.4,1013.0,1.34,4.02,90,0.0,0.0,0,0.0
2026-06-30T16:50:00Z,28.1,86,25.5,1012.9,1.34,4.47,157,0.0,0.0,0,0.0
2026-06-30T17:00:00Z,28.1,86,25.5,1012.9,1.34,4.47,45,0.0,0.0,0,0.0
2026-06-30T17:10:00Z,28.1,86,25.5,1012.6,0.89,4.02,112,0.0,0.0,0,0.0
2026-06-30T17:20:00Z,28.1,86,25.5,1012.4,1.34,4.02,135,0.0,0.0,0,0.0
2026-06-30T17:30:00Z,28.1,85,25.3,1012.3,1.34,5.36,90,0.0,0.0,0,0.0
2026-06-30T17:40:00Z,28.2,85,25.4,1012.4,1.34,4.47,157,0.0,0.0,0,0.0
2026-06-30T17:50:00Z,28.3,85,25.5,1012.2,1.79,4.02,157,0.0,0.0,0,0.0
2026-06-30T18:00:00Z,28.3,85,25.5,1012.3,1.34,4.92,135,0.0,0.0,0,0.0
2026-06-30T18:10:00Z,28.3,85,25.5,1012.3,1.34,3.58,157,0.0,0.0,0,0.0
2026-06-30T18:20:00Z,28.3,85,25.5,1012.2,0.89,4.47,157,0.0,0.0,0,0.0
2026-06-30T18:30:00Z,28.1,85,25.3,1012.1,1.34,4.47,90,0.0,0.0,0,0.0
2026-06-30T18:40:00Z,27.9,85,25.1,1012.2,0.89,3.13,157,0.0,0.0,0,0.0
2026-06-30T18:50:00Z,28.0,85,25.2,1012.2,1.34,4.02,135,0.0,0.0,0,0.0
2026-06-30T19:00:00Z,28.1,85,25.3,1012.1,0.89,4.47,135,0.0,0.0,0,0.0
2026-06-30T19:10:00Z,28.2,85,25.4,1012.2,1.34,4.02,112,0.0,0.0,0,0.0
2026-06-30T19:20:00Z,28.3,85,25.5,1012.3,1.34,4.92,90,0.0,0.0,0,0.0
2026-06-30T19:30:00Z,28.2,85,25.4,1012.3,0.89,3.13,67,0.0,0.0,0,0.0
2026-06-30T19:40:00Z,28.1,85,25.3,1012.4,0.45,2.24,135,0.0,0.0,0,0.0
2026-06-30T19:50:00Z,27.9,86,25.3,1012.3,0.45,2.68,135,0.0,0.0,0,0.0
2026-06-30T20:00:00Z,27.7,86,25.1,1012.4,0.45,3.13,112,0.0,0.0,0,0.0
2026-06-30T20:10:00Z,27.6,87,25.2,1012.3,0.45,3.13,112,0.0,0.0,0,0.0
2026-06-30T20:20:00Z,27.5,87,25.1,1012.4,0.45,2.68,67,0.0,0.0,0,0.0
2026-06-30T20:30:00Z,27.6,87,25.2,1012.6,0.89,2.68,157,0.0,0.0,0,0.0
2026-06-30T20:40:00Z,27.4,88,25.2,1012.6,0.89,3.58,135,2.6,36.2,0,0.0
2026-06-30T20:50:00Z,26.9,89,24.9,1012.8,0.89,2.68,135,6.8,55.6,0,0.0
2026-06-30T21:00:00Z,26.7,90,24.9,1012.4,0.45,1.79,67,12.4,66.6,0,0.0
2026-06-30T21:10:00Z,26.4,91,24.8,1012.4,0.89,1.79,90,12.4,1.0,1,0.0
2026-06-30T21:20:00Z,26.4,91,24.8,1012.2,0.45,2.68,90,12.4,0.0,5,0.0
2026-06-30T21:30:00Z,26.4,91,24.8,1012.2,0.89,3.13,112,12.4,0.0,9,0.0
2026-06-30T21:40:00Z,26.4,92,25.0,1012.2,0.89,3.58,67,12.4,0.0,13,0.0
2026-06-30T21:50:00Z,26.4,92,25.0,1012.2,0.45,1.79,157,12.6,0.0,20,0.0
2026-06-30T22:00:00Z,26.4,92,25.0,1012.2,1.34,4.47,112,12.6,0.0,18,0.0
2026-06-30T22:10:00Z,26.3,92,24.9,1012.1,1.79,4.92,157,12.8,0.0,24,0.0
2026-06-30T22:20:00Z,25.9,92,24.5,1012.4,1.34,4.92,157,13.0,0.8,33,0.0
2026-06-30T22:30:00Z,26.1,92,24.7,1012.6,1.34,4.47,157,13.0,0.8,111,0.0
2026-06-30T22:40:00Z,26.5,92,25.1,1012.4,1.34,4.92,90,13.0,0.0,69,0.0
2026-06-30T22:50:00Z,27.1,91,25.5,1012.5,0.89,4.02,135,13.0,0.0,45,0.1
2026-06-30T23:00:00Z,27.6,90,25.8,1012.7,1.34,4.02,157,13.0,0.0,43,0.0
2026-06-30T23:10:00Z,28.0,89,26.0,1012.7,1.34,4.02,135,13.0,0.0,43,0.0
2026-06-30T23:20:00Z,28.4,88,26.2,1012.8,1.34,3.58,157,13.0,0.0,42,0.0
2026-06-30T23:30:00Z,28.8,87,26.4,1012.9,1.34,4.92,67,13.0,0.0,45,0.0
2026-06-30T23:40:00Z,28.8,86,26.2,1013.0,1.34,4.47,90,13.0,0.0,62,1.0
2026-06-30T23:50:00Z,28.9,85,26.1,1013.0,1.34,5.36,112,13.0,0.0,54,0.8
2026-07-01T00:00:00Z,28.6,85,25.8,1013.3,1.34,4.47,157,13.0,0.0,63,0.8
2026-07-01T00:10:00Z,28.4,88,26.2,1013.3,1.34,6.71,135,13.2,0.0,119,1.6
2026-07-01T00:20:00Z,28.5,88,26.3,1013.3,1.79,4.92,157,13.2,0.0,75,2.1
2026-07-01T00:30:00Z,28.9,87,26.5,1013.2,1.79,5.81,112,13.2,0.0,55,1.3
2026-07-01T00:40:00Z,29.3,86,26.7,1013.3,1.79,4.02,67,13.2,0.0,63,3.1
2026-07-01T00:50:00Z,29.5,85,26.7,1013.1,1.79,5.81,135,13.2,0.0,69,3.7
